4	0822	HOTSTUFF POWER PUSH！VOL.5	yucat / HEREbr2nザ・ヒーナキャットbr2n【opening guest】ハナエbr2n--br2n【 ペアチケット有り(要事前申請) 】 前売りチケットをお買い求め、ご予約(バンド取り置き含む)頂いた方は、ペアチケットをご用意します。	OPEN 18:15 / START 19:00br2nADV¥2000 / DOOR¥2500
4	0822	やついの日ナイト	やついいちろう(エレキコミック)br2n他、豪華ゲスト！！	OPEN 23:30 / START 23:30br2nADV¥2000 / DOOR¥未定br2n♡THANK YOU SOLD OUT♡
4	0823	BEATSMANIA 2014		OPEN 18:30 / START 19:00br2nADV￥4000 / DOOR￥4500
4	0823	Gonna Ball	【DJ】MIWAKO / TAKESHI / TAGO！/ BAD YUUKIbr2n※BANDあり！	OPEN 24:00 / START 24:00br2nADV¥1000 / DOOR¥1300
4	0824	LONDON NITE Summer Jamboree 2014	MAGUMI & THE BREATHLESS / TERROR FAMILIAbr2nSTOMPIN'RIFFRAFFS / TOKYO CRAMPSbr2nキノコホテル / THE RODEOSbr2n【DJ】大貫憲章 / ヒカル / SHOJI / katchin’ / YOSSY / U-ichi / YU-TAbr2n【GUEST DJ】Daddy-O-Nov & more	OPEN 15:00 / START 15:00br2nADV¥2800 / DOOR¥3300
4	0825	歌舞伎町Forever Free!!!	GORO GOLO / Have a Nice Day!br2nNATURE DANGER GANG / 脳性麻痺号br2nGlocal Pussys / Y.I.M / BOOLbr2nD.J.April / DJののの	OPEN 19:00 / START 19:00br2nNO CHARGE！！
4	0825	ゴッドバー		OPEN 23:00 / START 23:00br2nORDER STOP_FOOD 27:30 / DRINK 28:30br2nCLOSE_29:00
4	0826	すーずーずーpresent「reach the sky vol.5」	Age Factory(奈良) / アルソコニ(奈良)br2nQLTONE / climbgrow / My Hair is Badbr2nLAMP IN TERREN / Halo at 四畳半	OPEN 17:00 / START 17:30br2nADV¥2300 / DOOR¥2800br2n 
4	0826	nicoten presents「ニコバザール １」	nicotenbr2n宇宙まおbr2nアンテナbr2n荒川ケンタウロス	OPEN 18:30 / START 19:00br2nADV¥2500 / DOOR¥2800
4	0827	新宿ロフトの夏祭り2014 EXTRA	airezias / 水上カルビbr2nとけた電球 / phononbr2nまがりかど / Mrs.GREEN APPLE	OPEN 17:30 / START 18:00br2nadv¥1500 / door¥2000(2オーダー別￥1000)
4	0827	今日のできごとpresents 「ごはんができたよ」	ぽわん / ぱいぱいでか美br2n渡辺友悠バンド / おやすみホログラム and more...！br2n【food】br2nロフト特製カレーbr2n※各バンドごとにトッピングあります！br2nカレーは一皿300円で販売、トッピングはそれぞれ100円です。	OPEN 18:00 / START 18:30br2nDOOR¥1000(D別)
4	0828	営利目的ライブ 偉大なる夜	死ね死ね団br2nクリトリック・リスbr2nPUNiKbr2nらいむらいと	OPEN 18:30 / START 19:00br2nADV¥3000 / DOOR¥3500
4	0829	Power Fool !!	【LIVE】br2n水曜日のカンパネラ / バクバクドキンbr2nDALLJUB STEP CLUB / Idiot Pop / エレクトリックリボン / NATURE DANGER GANGbr2n【DJ】New Action! / Hyper Juice / DJ四捨五入 / PsycheSayBoom!!!br2n【VJ】ASAKA x OYAMADAbr2n【FOOD】W.K.DINER	OPEN 18:00 / START 18:00br2nADV¥2800 / DOOR¥3300(※学生証提示でドリンク代無料)
4	0830	〜 BOΦWY THE BEST STORY ANOTHER LIVE TOUR 〜	高橋まこと	OPEN 18:00 / START 19:00br2nADV¥4000 / DOOR¥4500
4	0830	村民祭4 FEVER	DJ オショウ / ケミキラ / ramobr2nヒラサワンダbr2nPERDOMINANT / Tribal Function Orchestrabr2nDJ roki / DJ konandolilebr2nDJ Syogo / DJ Mayuyun / DJ Two-dabr2nEnjo-G / ダンコーン	OPEN 23:30 / START 24:00br2nADV¥3000 / DOOR¥3500
4	0831	〜 BOΦWY THE BEST STORY ANOTHER LIVE TOUR 〜	高橋まことbr2n［ 特別SPECIAL企画 ]br2nロフト時代のBOΦWYのライブを完全再現！！	OPEN 18:00 / START 19:00br2nADV¥4000 / DOOR¥4500
4	0901	TEEN’S MUSI CAMP 2014 U_22	午前3時と退屈 / シップストーリーbr2nTETOL SNOVER / ねこね、こねこね。br2nmartial art house / もしもしくじらbr2nmock heroic	OPEN 17:00 / START 17:30br2nADV¥1000 / DOOR¥1500(2ドリンク別)
4	0902	大森靖子 コピバン祭	全バンド Vo. 大森靖子 br2n☆宇多田ヒカル、SPEED、globeバンドbr2n 直枝政広(カーネーション)br2n tatsu(LÄ-PPISCH)br2n 奥野真哉(ソウル・フラワー・ユニオン）br2n ピエール中野(凛として時雨)br2n☆椎名林檎バンドbr2n 畠山ケンジ(Hmountains)br2n えらめぐみ(Dots Dash、股下89)br2n 張江浩司(来来来チーム)br2n 小林(TOORS)br2n☆銀杏バンドbr2n YDO(ヤスエデンジャラスおじさん)br2n 飯田裕(SEBASTIAN X)br2n セクシーワイルドbr2n☆ハロプロバンドbr2n チャンヒノ(otori)br2n ミナミトモヤbr2n 張江浩司(来来来チーム)br2n 劔樹人(あらかじめ決められた恋人たちへ)br2n＋1シークレットバンドbr2n	OPEN 18:30 / START 19:00br2nADV¥2800 / DOOR¥3300
4	0902	ゴッドバー		OPEN 23:00 / START 23:00br2nORDER STOP_FOOD 27:30 / DRINK 28:30 CLOSE_29:00
